City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kavaratti,IN,10.5669,72.642,82.85,75,100,10.8,overcast clouds
1,Kaitangata,NZ,-46.2817,169.8464,46.45,79,96,0.96,overcast clouds
2,Flinders,AU,-34.5833,150.8552,53.06,85,63,1.01,broken clouds
3,Kodiak,US,57.79,-152.4072,53.22,59,19,6.55,few clouds
4,Castro,BR,-24.7911,-50.0119,68.86,61,100,4.38,overcast clouds
5,Hobart,AU,-42.8794,147.3294,53.46,79,100,1.99,overcast clouds
6,Kampil,IN,27.6167,79.2833,95.14,29,1,5.86,clear sky
7,Kapaa,US,22.0752,-159.319,80.58,71,90,1.99,overcast clouds
8,Kibaya,TZ,-5.3,36.5667,55.18,89,13,4.9,few clouds
9,Atuona,PF,-9.8,-139.0333,79.7,64,71,8.37,broken clouds
10,Barrow,US,71.2906,-156.7887,30.22,93,90,13.8,mist
11,Saint-Philippe,RE,-21.3585,55.7679,71.15,84,61,12.97,light rain
12,Ushuaia,AR,-54.8,-68.3,38.86,81,75,0.0,light rain
13,Kondoa,TZ,-4.9,35.7833,58.93,80,85,5.12,overcast clouds
14,Nikolskoye,RU,59.7035,30.7861,67.89,71,55,5.17,broken clouds
15,Khatanga,RU,71.9667,102.5,32.76,90,97,5.55,overcast clouds
16,Mahibadhoo,MV,3.7833,72.9667,83.03,76,93,14.92,overcast clouds
17,Srednekolymsk,RU,67.45,153.6833,55.69,56,100,12.48,overcast clouds
18,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,11.95,drizzle
19,Sharjah,AE,25.3573,55.4033,96.96,49,0,8.79,clear sky
20,Port Alfred,ZA,-33.5906,26.891,65.43,37,0,8.88,clear sky
21,Lebu,CL,-37.6167,-73.65,51.76,69,100,1.95,light rain
22,Rikitea,PF,-23.1203,-134.9692,76.71,84,100,15.05,overcast clouds
23,Olafsvik,IS,64.8945,-23.7142,47.62,86,100,1.63,heavy intensity rain
24,Novo Aripuana,BR,-5.1206,-60.3797,84.69,69,100,1.54,overcast clouds
25,Dikson,RU,73.5069,80.5464,29.98,87,100,9.75,overcast clouds
26,Lavrentiya,RU,65.5833,-171.0,34.74,81,99,5.93,overcast clouds
27,Drovyanaya,RU,51.5833,113.0333,53.11,91,98,2.86,overcast clouds
28,Praia,CV,14.9215,-23.5087,77.54,69,20,21.85,few clouds
29,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,9.75,clear sky
