City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Matara,LK,6/6/2021 11:42,5.9485,80.5353,82.31,80,84,12.3
1,Airai,TL,6/6/2021 11:42,-8.9266,125.4092,58.37,91,88,2.35
2,Kitimat,CA,6/6/2021 11:45,54.0524,-128.6534,46.9,97,100,2.1
3,Neiafu,TO,6/6/2021 11:46,-18.65,-173.9833,76.93,66,5,11.63
4,Srandakan,ID,6/6/2021 11:45,-7.9386,110.2506,63.73,84,38,5.03
5,Bang Saphan,TH,6/6/2021 11:46,11.2126,99.5117,84.15,74,100,8.41
6,Kulhudhuffushi,MV,6/6/2021 11:46,6.6221,73.07,82.15,78,98,14.16
7,Bereda,ES,6/6/2021 11:46,43.2686,-7.5406,69.42,65,72,5.21
8,Mar Del Plata,AR,6/6/2021 11:39,-38.0023,-57.5575,46.13,70,0,1.99
9,Rikitea,PF,6/6/2021 11:42,-23.1203,-134.9692,76.23,82,100,16.87
10,New Norfolk,AU,6/6/2021 11:42,-42.7826,147.0587,48.92,81,94,2.24
11,Bud,US,6/6/2021 11:44,39.447,-86.1758,68.34,95,90,5.97
12,Kapaa,US,6/6/2021 11:42,22.0752,-159.319,75.52,81,20,11.88
13,Puerto Ayora,EC,6/6/2021 11:42,-0.7393,-90.3518,72.55,93,42,3
14,Avarua,CK,6/6/2021 11:42,-21.2078,-159.775,69.85,73,76,3.44
15,Tuktoyaktuk,CA,6/6/2021 11:42,69.4541,-133.0374,30.49,89,14,5.68
16,Komsomolskiy,UZ,6/6/2021 11:43,40.4272,71.7189,102.92,10,0,6.91
17,Mahebourg,MU,6/6/2021 11:42,-20.4081,57.7,79.25,73,75,10.36
18,Biak,ID,6/6/2021 11:44,-0.9131,122.8766,77.32,79,53,5.88
19,Broome,US,6/6/2021 11:43,42.2506,-75.833,73.36,79,1,3.98
20,Kuruman,ZA,6/6/2021 11:46,-27.4524,23.4325,59.99,26,0,17.74
21,Busselton,AU,6/6/2021 11:42,-33.65,115.3333,56.08,74,27,9.86
22,Klyuchi,RU,6/6/2021 11:46,52.2667,79.1667,74.52,29,5,1.25
23,Cape Town,ZA,6/6/2021 11:37,-33.9258,18.4232,80.28,20,0,15.03
24,Hobart,AU,6/6/2021 11:38,-42.8794,147.3294,49.26,82,20,5.41
25,Morro Bay,US,6/6/2021 11:46,35.3658,-120.8499,55.9,90,80,4.56
26,Turka,UA,6/6/2021 11:46,49.1541,23.0297,72.25,54,5,9.08
27,Sola,VU,6/6/2021 11:44,-13.8833,167.55,79.86,76,69,13.2
28,Hilo,US,6/6/2021 11:42,19.7297,-155.09,70.79,87,90,8.05
29,Bathsheba,BB,6/6/2021 11:42,13.2167,-59.5167,83.01,61,40,18.14
30,Sokolo,ML,6/6/2021 11:44,14.7328,-6.1219,103.05,25,8,14
31,Vila Velha,BR,6/6/2021 11:44,-20.3297,-40.2925,73.35,86,20,1.99
32,Mataura,NZ,6/6/2021 11:42,-46.1927,168.8643,49.48,89,81,1.07
33,Cayenne,GF,6/6/2021 11:45,4.9333,-52.3333,78.84,90,75,1.01
34,Villamontes,BO,6/6/2021 11:46,-21.25,-63.5,67.24,81,97,2.39
35,Saskylakh,RU,6/6/2021 11:43,71.9167,114.0833,42.01,51,77,9.86
36,Necochea,AR,6/6/2021 11:46,-38.5473,-58.7368,44.8,70,10,8.93
37,Khatanga,RU,6/6/2021 11:42,71.9667,102.5,38.19,75,100,7.4
38,Sao Filipe,CV,6/6/2021 11:42,14.8961,-24.4956,76.75,63,77,6.31
39,Touros,BR,6/6/2021 11:42,-5.1989,-35.4608,79.7,70,31,14.32
40,Bethel,US,6/6/2021 11:42,41.3712,-73.414,77.11,76,1,0
41,Road Town,VG,6/6/2021 11:46,18.4167,-64.6167,82.2,83,40,8.05
42,Gladstone,AU,6/6/2021 11:46,-23.85,151.25,57.13,67,0,0
43,San Patricio,US,6/6/2021 11:42,28.017,-97.5169,80.46,96,0,6.4
44,Atuona,PF,6/6/2021 11:42,-9.8,-139.0333,78.51,71,21,11.9
45,Albany,US,6/6/2021 11:40,42.6001,-73.9662,76.08,73,79,4.09
46,Qaanaaq,GL,6/6/2021 11:43,77.484,-69.3632,38.62,75,73,5.32
47,Lahij,YE,6/6/2021 11:46,13.1667,44.5833,101.91,19,16,10.8
48,Lebu,CL,6/6/2021 11:42,-37.6167,-73.65,45.73,79,86,5.46
49,Provideniya,RU,6/6/2021 11:43,64.3833,-173.3,35.15,85,71,5.46
50,Cowra,AU,6/6/2021 11:46,-33.8333,148.6833,42.6,85,46,2.24
51,Punta Arenas,CL,6/6/2021 11:42,-53.15,-70.9167,35.71,87,100,11.03
52,Lorengau,PG,6/6/2021 11:43,-2.0226,147.2712,79.88,86,99,13.13
53,Charters Towers,AU,6/6/2021 11:44,-20.1,146.2667,60.08,79,85,6.96
54,Bredasdorp,ZA,6/6/2021 11:42,-34.5322,20.0403,78.12,18,13,6.96
55,Serowe,BW,6/6/2021 11:46,-22.3833,26.7167,64.15,34,17,15.79
56,Ushuaia,AR,6/6/2021 11:38,-54.8,-68.3,37.06,70,75,5.75
57,Tilichiki,RU,6/6/2021 11:45,60.4667,166.1,36.86,92,99,7.29
58,Vao,NC,6/6/2021 11:43,-22.6667,167.4833,71.38,59,78,18.07
59,Ust-Tsilma,RU,6/6/2021 11:47,65.441,52.1498,60.03,23,68,8.57
60,Dikson,RU,6/6/2021 11:43,73.5069,80.5464,31.14,95,99,12.24
61,Celestun,MX,6/6/2021 11:47,20.8667,-90.4,78.28,82,66,10.49
62,Sterling,US,6/6/2021 11:47,39.0062,-77.4286,77,78,20,6.91
63,Nemuro,JP,6/6/2021 11:44,43.3236,145.575,53.29,89,87,18.63
64,Codrington,AU,6/6/2021 11:43,-38.2667,141.9667,56.08,75,100,15.14
65,Freeport,US,6/6/2021 11:46,40.6576,-73.5832,80.19,77,1,4
66,Carnarvon,AU,6/6/2021 11:42,-24.8667,113.6333,68.07,60,90,8.05
67,Mecca,SA,6/6/2021 11:41,21.4267,39.8261,103.03,28,4,15.17
68,Mahibadhoo,MV,6/6/2021 11:45,3.7833,72.9667,83.35,74,21,15.32
69,Hovd,MN,6/6/2021 11:43,48.0056,91.6419,56.35,24,41,10.45
70,Cururupu,BR,6/6/2021 11:47,-1.8283,-44.8683,79.99,90,26,2.37
71,Kavieng,PG,6/6/2021 11:42,-2.5744,150.7967,82.54,74,96,5.75
72,Jinchang,CN,6/6/2021 11:47,38.4953,102.1739,70.75,35,100,16.02
73,Poum,NC,6/6/2021 11:42,-20.2333,164.0167,73.31,62,97,21.54
74,Telenesti,MD,6/6/2021 11:47,47.4997,28.3656,75.07,51,66,10.6
75,Pangody,RU,6/6/2021 11:47,65.85,74.4859,43.16,56,95,18.14
76,Khelyulya,RU,6/6/2021 11:47,61.7333,30.6833,71.58,41,100,3.38
77,Kalmar,SE,6/6/2021 11:47,56.6616,16.3616,73.33,53,0,12.66
78,Marrakesh,MA,6/6/2021 11:43,31.6315,-8.0083,86.07,39,0,5.75
79,Aykhal,RU,6/6/2021 11:43,66,111.5,48.94,55,100,5.12
80,Yamada,JP,6/6/2021 11:47,39.4667,141.95,65.14,75,100,6.55
81,Kysyl-Syr,RU,6/6/2021 11:44,63.8986,122.7617,56.71,51,93,2.98
82,Constitucion,CL,6/6/2021 11:42,-35.3333,-72.4167,47.71,68,99,4.52
83,Valdosta,US,6/6/2021 11:47,30.8327,-83.2785,73.81,91,1,0
84,La Paz,BO,6/6/2021 11:44,-16.5,-68.15,35.58,80,75,2.3
85,Tromso,NO,6/6/2021 11:47,69.6496,18.957,66.85,38,0,14.97
86,Hermanus,ZA,6/6/2021 11:42,-34.4187,19.2345,79.9,39,12,6.31
87,Cadereyta,MX,6/6/2021 11:47,25.5833,-99.9833,74.17,80,15,3.04
88,Nikolskoye,RU,6/6/2021 11:43,59.7035,30.7861,76.89,33,62,6.69
89,Madimba,TZ,6/6/2021 11:47,-10.4,40.3333,82.15,51,57,13.67
90,Myski,RU,6/6/2021 11:43,53.709,87.8014,56.5,93,96,5.95
91,Jamestown,US,6/6/2021 11:42,42.097,-79.2353,69.39,86,1,4.61
92,Diego De Almagro,CL,6/6/2021 11:47,-26.3667,-70.05,55.4,52,3,1.01
93,Siparia,TT,6/6/2021 11:47,10.1333,-61.5,81.07,82,96,10.74
94,Takanabe,JP,6/6/2021 11:47,32.1333,131.5,69.69,85,100,1.5
95,Andilamena,MG,6/6/2021 11:47,-17.0167,48.5833,68.59,73,91,9.28
96,Pevek,RU,6/6/2021 11:42,69.7008,170.3133,48.38,69,77,12.88
